"filename", "language", "JSON", "TypeScript React", "Markdown", "SCSS", "XML", "CSS", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\ardaf\repository\lightnoveltracker\styles\AdminPanel.module.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\ardaf\repository\lightnoveltracker\styles\Book.module.scss", "SCSS", 0, 0, 0, 58, 0, 0, 0, 0, 0, 9, 67
"c:\Users\ardaf\repository\lightnoveltracker\styles\Home.module.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ardaf\repository\lightnoveltracker\styles\Login.module.scss", "SCSS", 0, 0, 0, 73, 0, 0, 0, 0, 1, 14, 88
"c:\Users\ardaf\repository\lightnoveltracker\styles\ModPanel.module.css", "CSS", 0, 0, 0, 0, 0, 83, 0, 0, 0, 23, 106
"c:\Users\ardaf\repository\lightnoveltracker\styles\PageBase.module.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\ardaf\repository\lightnoveltracker\styles\Profile.module.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\ardaf\repository\lightnoveltracker\styles\Search.module.scss", "SCSS", 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\ardaf\repository\lightnoveltracker\styles\SetupAccount.module.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\ardaf\repository\lightnoveltracker\styles\SubmitPage.module.scss", "SCSS", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\BookCard.module.scss", "SCSS", 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\Button.module.scss", "SCSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\InputField.module.scss", "SCSS", 0, 0, 0, 34, 0, 0, 0, 0, 2, 8, 44
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\Navigation.module.scss", "SCSS", 0, 0, 0, 45, 0, 0, 0, 0, 1, 12, 58
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\NotificationItem.module.scss", "SCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\OverlayMenu.module.scss", "SCSS", 0, 0, 0, 65, 0, 0, 0, 0, 0, 15, 80
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\QuickAlert.module.scss", "SCSS", 0, 0, 0, 38, 0, 0, 0, 0, 2, 11, 51
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\Subtitle.module.scss", "SCSS", 0, 0, 0, 23, 0, 0, 0, 0, 0, 7, 30
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\UserContainer.module.scss", "SCSS", 0, 0, 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\ardaf\repository\lightnoveltracker\styles\components\footer.module.scss", "SCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\Users\ardaf\repository\lightnoveltracker\styles\globals.scss", "SCSS", 0, 0, 0, 267, 0, 0, 0, 0, 20, 60, 347
"c:\Users\ardaf\repository\lightnoveltracker\tsconfig.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"Total", "-", 6562, 1347, 151, 891, 1, 103, 76, 851, 74, 630, 10686
